"","diff","lwr","upr","p.adj"
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 2-NEW",-4707.3291015625,-7293.35231397696,-2121.30588914804,0.00134281612116394
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 2-NEW",-3842.044921875,-6428.06813428945,-1256.02170946054,0.00515412393603609
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 2-NEW",3.396484375,-2582.62672803946,2589.41969678946,1
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 2-NEW",-464.4736328125,-3050.49684522696,2121.54957960196,0.99394382747198
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 2-OLD",-4664.1728515625,-7250.19606397696,-2078.14963914804,0.00143013609081932
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 2-OLD",-3798.888671875,-6384.91188428945,-1212.86545946054,0.00553777229587304
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 2-OLD",46.552734375,-2539.47047803946,2632.57594678946,0.999999998840953
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 2-OLD",-421.3173828125,-3007.34059522696,2164.70582960196,0.996595300620635
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 3-NEW",865.284179687504,-1720.73903272695,3451.30739210196,0.867028265836093
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 3-NEW",4710.7255859375,2124.70237352304,7296.74879835196,0.00133619762143056
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 3-NEW",4242.85546875,1656.83225633554,6828.87868116446,0.00270428121148714
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 3-OLD",3845.44140625,1259.41819383554,6431.46461866445,0.00512518375286353
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 3-OLD",3377.5712890625,791.54807664804,5963.59450147695,0.0114378874023012
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 4-NEW",-467.8701171875,-3053.89332960196,2118.15309522696,0.993682287449616
"A7-E7-PLATE 1-OLD-A7-E7-PLATE 1-NEW",192.464843749993,-2292.57580049096,2677.50548799095,0.999971938546523
"A7-E7-PLATE 2-NEW-A7-E7-PLATE 1-NEW",-1632.17187500001,-4117.21251924096,852.868769240948,0.277370389295727
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 1-NEW",-2781.13574218751,-5266.17638642846,-296.095097946552,0.0277237763816508
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 1-NEW",-5741.82910156251,-8226.86974580346,-3256.78845732155,0.000249121272209218
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 1-NEW",-4328.00195312501,-6813.04259736596,-1842.96130888405,0.00181373099202375
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 1-NEW",-1791.31738281251,-4276.35802705346,693.723261428448,0.203775717483115
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 1-NEW",-2474.82128906251,-4959.86193330346,10.2193551784476,0.0510419623204608
"A7-E7-PLATE 2-NEW-A7-E7-PLATE 1-OLD",-1824.63671875,-4309.67736299095,660.403925490955,0.190767236494279
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 1-OLD",-2973.6005859375,-5458.64123017845,-488.559941696545,0.0190857277094184
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 1-OLD",-5934.2939453125,-8419.33458955345,-3449.25330107155,0.000195978663238394
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 1-OLD",-4520.466796875,-7005.50744111595,-2035.42615263405,0.00134902156926453
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 1-OLD",-1983.7822265625,-4468.82287080345,501.258417678455,0.138593942191095
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 1-OLD",-2667.2861328125,-5152.32677705345,-182.245488571545,0.0347112090142033
"A7-E7-PLATE 2-OLD-A7-E7-PLATE 2-NEW",-1148.9638671875,-3634.00451142845,1336.07677705345,0.620983262143689
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 2-NEW",-4109.6572265625,-6594.69787080345,-1624.61658232155,0.00256564985252761
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 2-NEW",-2695.830078125,-5180.87072236595,-210.789433884045,0.0328008738026655
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 2-NEW",-159.1455078125,-2644.18615205345,2325.89513642845,0.999992283647524
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 2-NEW",-842.6494140625,-3327.69005830345,1642.39123017845,0.859961092330943
"A7-E7-PLATE 3-NEW-A7-E7-PLATE 2-OLD",-2960.693359375,-5445.73400361595,-475.652715134045,0.0195641850519173
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 2-OLD",-1546.8662109375,-4031.90685517845,938.174433303455,0.325237428939929
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 2-OLD",989.818359375,-1495.22228486595,3474.85900361595,0.752903219190888
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 2-OLD",306.314453125,-2178.72619111595,2791.35509736595,0.999397944923697
"A7-E7-PLATE 3-OLD-A7-E7-PLATE 3-NEW",1413.8271484375,-1071.21349580345,3898.86779267845,0.412041569772412
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 3-NEW",3950.51171875,1465.47107450905,6435.55236299095,0.00332888315497704
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 3-NEW",3267.0078125,781.967168259045,5752.04845674095,0.0109969306437611
"A7-E7-PLATE 4-NEW-A7-E7-PLATE 3-OLD",2536.6845703125,51.6439260715451,5021.72521455345,0.0450616389537859
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 3-OLD",1853.1806640625,-631.859980178455,4338.22130830345,0.180231484823972
"A7-E7-PLATE 4-OLD-A7-E7-PLATE 4-NEW",-683.50390625,-3168.54455049095,1801.53673799095,0.942610342338425
"A8-E8-PLATE 1-OLD-A8-E8-PLATE 1-NEW",-356.736328125,-3862.87930468812,3149.40664843812,0.999826729004819
"A8-E8-PLATE 2-NEW-A8-E8-PLATE 1-NEW",-1681.154296875,-5187.29727343812,1824.98867968812,0.585308894887213
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 1-NEW",-1357.96484375,-4864.10782031312,2148.17813281312,0.774394413771102
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 1-NEW",-5065.1181640625,-8571.26114062562,-1558.97518749938,0.00615493948400836
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 1-NEW",-5578.5859375,-9084.72891406312,-2072.44296093688,0.00331013472405994
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 1-NEW",-1503.6328125,-5009.77578906312,2002.51016406312,0.690878055417461
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 1-NEW",-1689.529296875,-5195.67227343812,1816.61367968812,0.580367022256495
"A8-E8-PLATE 2-NEW-A8-E8-PLATE 1-OLD",-1324.41796875,-4830.56094531312,2181.72500781312,0.792588455788981
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 1-OLD",-1001.228515625,-4507.37149218812,2504.91446093812,0.931853463361635
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 1-OLD",-4708.3818359375,-8214.52481250062,-1202.23885937438,0.00967151948708478
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 1-OLD",-5221.849609375,-8727.99258593812,-1715.70663281188,0.00507420424197025
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 1-OLD",-1146.896484375,-4653.03946093812,2359.24649218812,0.878424001152278
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 1-OLD",-1332.79296875,-4838.93594531312,2173.35000781312,0.788093859736393
"A8-E8-PLATE 2-OLD-A8-E8-PLATE 2-NEW",323.189453125,-3182.95352343812,3829.33242968812,0.999909849989683
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 2-NEW",-3383.9638671875,-6890.10684375062,122.17910937562,0.0595747864975212
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 2-NEW",-3897.431640625,-7403.57461718812,-391.28866406188,0.0287645286361923
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 2-NEW",177.521484375,-3328.62149218812,3683.66446093812,0.999998461150619
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 2-NEW",-8.375,-3514.51797656312,3497.76797656312,1
"A8-E8-PLATE 3-NEW-A8-E8-PLATE 2-OLD",-3707.1533203125,-7213.29629687562,-201.01034374938,0.0375702416859026
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 2-OLD",-4220.62109375,-7726.76407031312,-714.47811718688,0.0184449123711742
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 2-OLD",-145.66796875,-3651.81094531312,3360.47500781312,0.999999607634359
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 2-OLD",-331.564453125,-3837.70742968812,3174.57852343812,0.999893151573316
"A8-E8-PLATE 3-OLD-A8-E8-PLATE 3-NEW",-513.4677734375,-4019.61075000062,2992.67520312562,0.998220368601331
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 3-NEW",3561.4853515625,55.3423749993799,7067.62832812562,0.0462009792032924
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 3-NEW",3375.5888671875,-130.55410937562,6881.73184375062,0.0602966063754901
"A8-E8-PLATE 4-NEW-A8-E8-PLATE 3-OLD",4074.953125,568.81014843688,7581.09610156312,0.0225003538621327
